Unit_Number,Lease_or_Own,Status,Utilimarc_Class,Utilimarc_Category,Company_Code_Detail,Class_Code,Description,Unit_Make,Unit_Model,Unit_Year,Age,Unit_In_Service_Date,Unit_Disposal_Date,Unit_GVWR, Purchase_Price_Without_Tax ,Purchase_Price_With_Tax,Depreciated_Value,Lease_Cost,Interest_Cost,Depreciation_Cost,License_Cost,Mechanic_Labor_Cost,Vendor_Cost,Parts_Cost,Fuel_Cost,Other,Overhead_Cost,Total_Cost,Mechanic_Labor_Hours,Annual_Mileage,MRH,Fuel_Gallons,Fuel_Type,Drive_Type,Inservice_Over_Year,Take_home_vehicle,Total_Demand_Repair_Workorders,Total_Preventive_Maintenance_Workorders,Life to date mileage
26238,2,1,14.1,Vehicle,73,63600,SERVICE BODY 4X2 REG CAB,GM/Chevey,2500HD,2006,13,8/1/2006,,9200,17959,17959,0,0,0,0,266.7,276.92,0,203.1,248.08,574.55,1495.27,3064.62,180,523,34.28225684,111.5,,2,1,0,4,0,7330
24104,2,1,14.1,Vehicle,73,63600,SERVICE BODY 4X2 REG CAB,GM/Chevey,2500HD,2004,15,12/6/2004,,9200,19123,19123,0,0,0,0,266.7,553.84,0,22.18,242.78,574.55,1495.27,3155.32,360,409,34.28225684,109.1,,2,1,0,3,1,14746
25166,2,1,14.1,Vehicle,73,63600,SERVICE BODY 4X2 REG CAB,GM/Chevey,2500HD,2005,14,4/22/2005,,9200,18347.23,18347.23,0,0,0,0,266.7,1938.43,0,634.02,217.83,574.55,1495.27,5126.8,1260,633,34.28225684,97.9,,2,1,0,9,2,16274
27310,2,1,14.1,Vehicle,209,63600,SERVICE BODY 4X4 REG CAB,GM/Chevey,2500HD,2007,12,6/28/2007,,9200,25292,25292,0,0,0,0,266.7,3184.56,0,228.44,2894.57,574.55,1495.27,8644.09,2070,11756,34.28225684,1119.932,,4,1,0,9,3,166205
28324,2,1,14.1,Vehicle,216,63600,SERVICE BODY 4X4 REG CAB,GM/Chevey,2500HD,2008,11,10/24/2008,,9200,22803,22803,0,0,0,0,266.7,1476.9,800.83,138.54,3022.93,574.55,1495.27,7775.73,960,36106,34.28225684,994.975,,4,1,1,6,5,141533
24109,2,2,14.1,Vehicle,161,63600,SERVICE BODY 4X4 REG CAB,2,2500HD,2004,15,1/3/2005,9/21/2018,9200,23284,23284,0,0,0,0,266.7,323.07,0,32.28,1371.24,0,0,119598,3.5,4886,34.28225684,620.46,,4,0,0,1,1GBHK24G34E282602,105093
22306,2,1,14.1,Vehicle,161,63600,SERVICE BODY 4X4 REG CAB,GM/Chevey,2500HD,2002,17,10/16/2002,,9200,24033,24033,0,0,0,0,266.7,184.61,0,96.62,846.91,574.55,1495.27,3464.67,120,2504,34.28225684,383.21,,4,1,0,1,0,60900
27294,2,1,14.1,Vehicle,632,63600,SERVICE BODY 4X4 REG CAB,GM/Chevey,2500HD,2007,12,8/16/2007,,9200,23482,23482,0,0,0,0,266.7,1199.98,0,353.08,374.42,574.55,1495.27,4264.01,780,1348,34.28225684,140.97,,4,1,0,7,3,33914
98246,2,2,14.1,Vehicle,216,63600,SERVICE BODY 4X4 REG CAB,GM/Chevey,3500,1998,21,4/16/1999,5/31/2018,9200,0,0,0,0,0,0,266.7,1061.52,0,254.08,0,0,0,1582.3,690,22,34.28225684,0,,4,0,0,4,1,163557
96218,2,1,11.4,Vehicle,432,64650,VAN CARGO 4X2,GM/Chevey,3500,1996,23,2/6/1997,,9200,0,0,0,0,0,0,266.7,3784.56,0,449.79,395.16,408.79,1063.88,6368.88,2460,1571,24.3918333,146.1,,2,1,0,12,1,147097
29653,2,1,49,POE,613,70100,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FGKU40,2009,10,3/27/2009,,9000,31554,31554,15777,0,504.86,1005.52,260.9,46.15,997.56,48.56,1408.02,323.9,842.94,5438.41,30,0,19.32615327,558.2,,,1,0,2,0,1681
29652,2,1,49,POE,613,70100,CONSTRUCTION FORKLIFT,TOYOTA LIFT,7FGKU40,2009,10,4/23/2009,,9000,32386,32386,16193,0,518.18,1032.03,260.9,0,3451.68,0,1415.68,323.9,842.94,7845.31,0,0,19.32615327,517.3,,,1,0,1,0,1659
